channel_slug: google-ads
captured_at: 2026-05-06
captured_by: claude-code-subagent

# Evidence entries
# Format:
#   ID | type | vendor_slug_or_NA | url | accessed_iso | quote_or_observation | confidence (high/med/low)

E-GA-014 | industry_case_study | NA | https://orangetrail.io/case/scaling-peptides-without-shutdowns-from-account-suspension-stable-monthly-spend/ | 2026-05-06 | Case study of unnamed peptide brand; CRITICAL: platform was Meta (Facebook/Instagram), NOT Google Ads. Verbatim: "Ad Platform: Meta (Facebook / Instagram)." Pre-engagement: "ad account had been fully suspended twice in six months." Post-engagement: 8.58x ROAS at $150K+/mo. Tactics: removed "23 specific trigger phrases", migrated to "enterprise-level agency ad accounts", scaled "15-20% budget increases every 72 hours." Frequently surfaces for "peptide paid ads" queries, but does not validate Google Ads as a viable peptide channel. | high
E-GA-015 | similarweb | peptide-sciences | https://www.similarweb.com/website/peptidesciences.com/ | 2026-05-06 | Similarweb (April 2026 snapshot): "Organic 100% / Paid 0%" keyword split; top sources Organic Search 53.47% / Direct / Gen AI. Semrush (https://www.semrush.com/website/peptidesciences.com/overview/) "Paid Search Traffic: 0" with "-100%" change indicator. Note: Peptide Sciences voluntarily shut down operations in early 2026 (per multiple secondary sources), so paid-search 0% should be read as historical pattern as well as snapshot. | high
E-GA-016 | similarweb | swiss-chems | https://www.similarweb.com/website/swisschems.is/ | 2026-05-06 | Similarweb: "Organic 99.88% / Paid 0.12%" — effectively zero paid search, with the 0.12% likely random branded-defensive bidding noise. Direct 38.26%, 869 total organic keywords. | high
E-GA-017 | similarweb | core-peptides | https://www.similarweb.com/website/corepeptides.com/ | 2026-05-06 | Similarweb top channels visible: Organic Search 64.77%, Direct (2nd). No paid search appears in surfaced top channels; full breakdown gated. Consistent with paid Google search not being a meaningful channel. | med
E-GA-018 | similarweb | pure-rawz | https://www.similarweb.com/website/purerawz.co/ | 2026-05-06 | Similarweb: "Organic 100% / Paid 0%" keyword split; top sources Organic Search 47.42%, Direct, Mail. | high
E-GA-019 | similarweb | biotech-peptides | https://www.similarweb.com/website/biotechpeptides.com/ | 2026-05-06 | Similarweb: "Organic vs. Paid - Organic 100%, Paid 0%"; Organic Search 74.92% of all visits. | high
E-GA-020 | similarweb | behemoth-labz | https://www.similarweb.com/website/behemothlabz.com/ | 2026-05-06 | Similarweb: "Organic 100% / Paid 0%" keyword split; Organic Search 51.53%, Direct, Mail as top three channels. | high
E-GA-021 | similarweb | limitless-life-nootropics | https://www.similarweb.com/website/limitlesslifenootropics.com/ | 2026-05-06 | Similarweb: "Organic 79.61% / Paid 20.39%" keyword split — only anchor vendor with non-trivial paid-search keyword share. Top keywords are mostly branded ("limitless life nootropics" $1.00, "limitless biotech" $4.26, "limitless life" $2.47, "limitless peptides" $4.37); only one non-branded keyword in top set is "semax" ($0.83). Strongly suggests branded-defensive bidding (or affiliate / competitor bidding) rather than category-keyword peptide ad campaign. Worth direct verification via incognito SERP, but not by itself proof of category Google Ads activity. | med
E-GA-022 | similarweb | amino-asylum | https://www.similarweb.com/website/aminoasylum.shop/ | 2026-05-06 | Similarweb top three channels: Display, Direct, Mail (no Paid Search visible in surfaced top channels). Display being #1 is unusual — suggests programmatic or affiliate banner ads rather than Google Search Ads. | med
E-GA-023 | regulatory | NA | https://policycanary.io/blog/fda-research-peptide-warning-letters-april-2026 | 2026-05-06 | FDA April 7 2026 warning letters to seven research-peptide vendors (Pink Pony Peptides, Mile High Compounds, Prime Sciences, Gram Peptides, PekCura Labs, FormPour, Guangzhou Huli Technology dba Fantasy Face). Verbatim FDA quote: "Despite statements on your product labeling marketing your products for 'Research Use Only,' and 'not intended for human consumption, medical use, or veterinary use,' evidence obtained from your website establishes that your products are intended to be drugs for human use." Marketing channels listed: own websites, eBay stores, Skool forum — NOT paid Google search. The "RUO" disclaimer — the central plank of YourPeptideBrand-style Google Ads compliance frameworks — has been judicially pierced by FDA enforcement. | high
E-GA-024 | platform_comparison | NA | https://about.ads.microsoft.com/en-us/resources/policies/disapproved-healthcare-products-and-supplements | 2026-05-06 | Microsoft (Bing) Ads disapproved-healthcare policy page exists but JS-rendering prevents direct WebFetch capture. Per industry-summary sources, Microsoft Advertising "removed over one billion policy-violating advertisements in 2024" and applies similar restrictions to Google. No evidence of Bing being a more permissive alternative for research-peptide vendors surfaced. | low
E-GA-025 | community | NA | https://support.google.com/google-ads/thread/118278439 | 2026-05-06 | Google Ads Community thread title: "Is it allowed to create Ads to promote the sale of research chemicals (ie peptides, SARMs, eg GHRP?" — the question itself is documentary evidence that vendors actively investigate this. Thread body could not be extracted via WebFetch (truncation). | low
E-GA-026 | absence_finding | NA | https://adstransparency.google.com/ | 2026-05-06 | Google Ads Transparency Center is a JavaScript-rendered SPA that WebFetch cannot read. Direct attempts to query advertiser pages by domain (peptidesciences.com, swisschems.is, corepeptides.com, domesticsupply.org) returned only navigation chrome with content "truncated due to length." This is a methodology gap — Transparency Center checks should be repeated using a real-browser tool (gstack browse / SerpApi / SearchAPI) before final answers about per-vendor verified-advertiser status are claimed with high confidence. Multiple SEO-data-source triangulation (Similarweb + Semrush) was used as a substitute and shows paid-search share at or near 0% for 7 of 8 anchor vendors with available data. | med
E-GA-027 | posture_verification | NA | search results | 2026-05-06 | Posture-reference vendors (Hunter Eyes Labs, NZT Peptides, LAR Labs, Adam Labs, Land Bio, Structure Labs, Jester Labs, Psycho Labs/Psychopeptides, Chad Labs, LARP Labs) are NOT verified as real research-peptide vendors via WebSearch. Closest hits: "Hunter Lab" (Australian skincare brand, peptide eye cream, cosmetic not research-chem); "NZT-48" (Amazon-listed nootropic supplement, not peptide vendor). Posture-reference list is substantially hypothetical and was excluded from the named-vendor evidence rows. | high
E-GA-028 | regulatory_companion | NA | https://www.fda.gov/news-events/press-announcements/fda-warns-30-telehealth-companies-against-illegal-marketing-compounded-glp-1s | 2026-05-06 | FDA (March 2026) issued warning letters to 30 telehealth companies for illegal marketing of compounded GLP-1s. Combined with the September 16 2025 FDA action issuing >55 warning letters to telehealth GLP-1 sellers (including Hims), this regulatory wave threatens the only currently-functional research-peptide-adjacent Google Ads channel (compounded-GLP-1 telehealth via LegitScript-certified providers). | high
