slug,brand_name,primary_domain,first_seen_pass,discovery_source_url,discovery_source_quote,assigned_tier,tier_rationale,profile_status
audrey-beauty-co,Audrey Beauty Co,audreybeauty.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct Chinese API re-shipper.",3,as-assigned (operator seed),pending
aussiebiolabs,Aussiebiolabs,aussiebiolabs.com.au,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: International vendor shipping to US.",3,as-assigned (operator seed),pending
aussiepeptides,AussiePeptides,aussiepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: International vendor shipping to US.",3,as-assigned (operator seed),partial
austropeptide,AustroPeptide,austropeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct Chinese vendor sued by Lilly.",3,as-assigned (operator seed),pending
bachem,Bachem,bachem.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Global market leader in peptide APIs.",1,as-assigned (operator seed),pending
baoju-chemical,Baoju Chemical,baojuchemical.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese manufacturer supplying US retail.",3,as-assigned (operator seed),pending
baoding-guangsi-trading-co,Baoding Guangsi Trading Co.,unknown,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Wholesale B2B supplier.",3,as-assigned (operator seed),pending
bioclinx,Bioclinx,bioclinx.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Obscure biochemical supplier.",3,as-assigned (operator seed),pending
bioedge-research-labs,BioEdge Research Labs,bioedgeresearch.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly recommended community vendor.",2,as-assigned (operator seed),pending
biogenix-peptides,BioGenix Peptides,biogenixpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Retail vendor located in Albany.",3,as-assigned (operator seed),pending
bioglow,Bioglow,bioglow.info,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Obscure biochemical supplier.",3,as-assigned (operator seed),pending
bioinfinitybioinfinitylab,Bioinfinitybioinfinitylab,bioinfinitybioinfinitylab.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small-scale bio-chemical vendor.",3,as-assigned (operator seed),pending
biolabshop-limited,Biolabshop Limited,biolabshop.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct due to Eli Lilly litigation.",3,as-assigned (operator seed),pending
biolink-peptides,Biolink Peptides,biolinkpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Florida-based retail vendor.",3,as-assigned (operator seed),pending
biolongevity-labs,Biolongevity Labs,biolongevitylabs.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: US-based vendor with mixed Reddit reviews.",2,as-assigned (operator seed),pending
biopeptek,Biopeptek,biopeptek.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Legitimate institutional analytical firm.",1,as-assigned (operator seed),pending
bleaugenics,BleauGenics,bleaugenics.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Long-tail Trustpilot supplier.",3,as-assigned (operator seed),pending
blue-ridge-peptides,Blue Ridge Peptides,blueridgepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Retail vendor in Warrenton.",3,as-assigned (operator seed),pending
blue-sky-peptide,Blue Sky Peptide,blueskypeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Established vendor facing infrastructure bans.",2,as-assigned (operator seed),pending
bulk-peptide-supply,Bulk Peptide Supply,bulkpeptidesupply.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Top-rated GLP-1 supplier.",2,as-assigned (operator seed),pending
celebritypeptides,Celebritypeptides,celebritypeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Obscure retail vendor.",3,as-assigned (operator seed),pending
certapeptides,CertaPeptides,certapeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small-scale retail vendor.",3,as-assigned (operator seed),pending
chem-center,Chem Center,chemcenter.bio,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Long-tail Trustpilot supplier.",3,as-assigned (operator seed),pending
chemyo,Chemyo,chemyo.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly visible SARM and peptide vendor.",2,as-assigned (operator seed),pending
clinical-peptide,Clinical Peptide,clinicalpeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Trusted medical supplier for clinics.",1,as-assigned (operator seed),pending
concordia-research-chems,Concordia Research Chems,concordiarc.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chicago-based research chemical vendor.",3,as-assigned (operator seed),pending
core-peptides,Core Peptides,corepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Mainstream retail vendor.",2,as-assigned (operator seed),pending
cosmic-peptides,Cosmic Peptides,cosmicpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small-scale retail vendor.",3,as-assigned (operator seed),pending
edge-peptides,Edge Peptides,edgepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Transparent retail vendor.",2,as-assigned (operator seed),pending
eliteedgebiotech,Eliteedgebiotech,eliteedgebiotech.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Retail vendor.",3,as-assigned (operator seed),pending
elutide,Elutide,elutide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Auburn Hills-based vendor.",3,as-assigned (operator seed),pending
empower-peptides,Empower Peptides,empower-peptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Largo-based retail vendor.",3,as-assigned (operator seed),pending
endocannex-llc,Endocannex LLC,endocannex.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: California-based vendor.",3,as-assigned (operator seed),pending
eternal-peptides,Eternal Peptides,eternalpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Trusted community supplier with open testing.",2,as-assigned (operator seed),pending
everest-peptides,Everest Peptides,everestpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Emerging retail supplier.",3,as-assigned (operator seed),pending
everydaypeptides,Everydaypeptides,everydaypeptides.ltd,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Obscure retail vendor.",3,as-assigned (operator seed),pending
evolabsresearch,Evolabsresearch,evolabsresearch.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Tampa-based vendor.",3,as-assigned (operator seed),pending
excalibur-peptides,Excalibur Peptides,excaliburpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Emerging retail supplier.",3,as-assigned (operator seed),pending
exploratory-lab,Exploratory Lab,suppliescheaperpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Budget-focused retail vendor.",3,as-assigned (operator seed),pending
extreme-peptides,Extreme Peptides,extremepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Established retail vendor.",2,as-assigned (operator seed),pending
ezpeps,ezPeps,ezpeps.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Long-tail Trustpilot supplier.",3,as-assigned (operator seed),pending
fit-aminos,Fit Aminos,fitaminos.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Mesa-based retail vendor.",3,as-assigned (operator seed),pending
forever-young-pharmacy,Forever Young Pharmacy,foreveryoungpharmacy.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Niche RUO supplier.",3,as-assigned (operator seed),pending
fullscalepeptides,Fullscalepeptides,fullscalepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
genoscience,Genoscience,genoscience.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: High-credibility, award-winning RUO supplier.",2,as-assigned (operator seed),pending
genscript,GenScript,genscript.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Global biotechnology leader.",1,as-assigned (operator seed),pending
global-aminos,Global Aminos,globalaminos.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Anaheim-based retail vendor.",3,as-assigned (operator seed),pending
guangzhou-jeep-biotechnology,Guangzhou Jeep Biotechnology,unknown,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese B2B API supplier.",3,as-assigned (operator seed),pending
happy-peptides-for-mindful-research,Happy Peptides for Mindful Research,happypeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Longwood-based retail vendor.",3,as-assigned (operator seed),pending
hk-peptides,HK Peptides,hkpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese re-shipper with mixed purity results.",3,as-assigned (operator seed),pending
hongzipeptide,Hongzipeptide,hongzipeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese direct-to-consumer supplier.",3,as-assigned (operator seed),pending
huaian-hanyou-peptide,Huaian Hanyou Peptide,hanyoupeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese manufacturer supplying US retail.",3,as-assigned (operator seed),pending
hunan-miqu-health-technology-co,Hunan Miqu Health Technology Co.,unknown,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Wholesale B2B supplier.",3,as-assigned (operator seed),pending
hxnet,HXNet,hxnet.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese wholesale supplier.",3,as-assigned (operator seed),pending
imagine-first,Imagine First,imaginefirstlabs.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: West Covina-based vendor.",3,as-assigned (operator seed),pending
injectify,Injectify,injectify.is (US: us.injectify.is),0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (note: injectify.com parked; actual vendor at injectify.is),partial
instant-peptides,Instant Peptides,instantpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Boca Raton retail vendor.",3,as-assigned (operator seed),pending
ionpeptide,Ionpeptide,ionpeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly rated Trustpilot vendor.",2,as-assigned (operator seed),pending
ironmountainlabz,IronMountainLabz,ironmountainlabz.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Confirmed scam operation.",3,as-assigned (operator seed),partial
licensed-peptides,Licensed Peptides,licensedpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Major retail vendor with 800+ reviews.",2,as-assigned (operator seed),pending
lilipeptide,LiliPeptide,lilipeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese direct-to-consumer supplier.",3,as-assigned (operator seed),pending
limitless-life-nootropics-limitless-biotech,Limitless Life Nootropics (Limitless Biotech),limitlesslifenootropics.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Established vendor focusing on cognitive health.",2,as-assigned (operator seed),pending
lipeptides,Lipeptides,lipeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Highly rated Chinese API supplier.",3,as-assigned (operator seed),pending
liyu-daily,Liyu daily,liyudaily.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese direct-to-consumer supplier.",3,as-assigned (operator seed),pending
ln-peptides,LN Peptides,lnpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Niche retail supplier.",3,as-assigned (operator seed),pending
mai-peptide,Mai Peptide,maipeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese wholesale supplier.",3,as-assigned (operator seed),pending
marvel-peptide,Marvel Peptide,marvelpeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese API supplier.",3,as-assigned (operator seed),pending
md-total-wellness,MD Total Wellness,mdtw.co,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Medically supervised California clinic.",1,as-assigned (operator seed),pending
mew-mews-company-limited,Mew Mews Company Limited,mewmews.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct Chinese API re-shipper.",3,as-assigned (operator seed),pending
midway-gray,Midway Gray,midwaygrays.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Obscure biochemical supplier.",3,as-assigned (operator seed),pending
mile-high-compounds,Mile High Compounds,milehighcompounds.is,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly rated Trustpilot vendor.",2,as-assigned (operator seed),pending
mj-peptides,MJ Peptides,unknown,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Underground, site-less distribution ring.",3,as-assigned (operator seed),pending
modified-aminos,Modified Aminos,modifiedaminos.shop,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Emerging retail supplier.",3,as-assigned (operator seed),pending
molecular-peptide,Molecular Peptide Store,onpoint.to,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Professionally developed RUO storefront.",2,as-assigned (operator seed),pending
m-peptides,M-Peptides,m-peptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
mypurepeptide,Mypurepeptide,mypurepeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Austin-based retail vendor.",3,as-assigned (operator seed),pending
nantong-guangyuan-chemical-gyc,Nantong Guangyuan Chemical GYC,ggpeps.net,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Confirmed massive-scale scam operation.",3,as-assigned (operator seed),completed
neurotide-research,NeuroTide Research,neurotideresearch.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Emerging retail supplier.",3,as-assigned (operator seed),pending
nexaph,Nexaph,nexaph.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),partial
next-age-peptides,Next Age Peptides,nextagepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Community recommended supplier.",2,as-assigned (operator seed),pending
next-generation-compounds,Next Generation Compounds,nextgencompounds.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
nextechlabs,NextechLabs,nextechlabs.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Retail vendor.",3,as-assigned (operator seed),pending
noble-dragons,Noble Dragons Tea Co.,nobledragons.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese B2B API supplier.",3,downgraded — nobledragons.com is DTC artisan tea retailer not a peptide vendor,failed
nurev-peptides,NuRev Peptides,nurevpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Simi Valley-based vendor.",3,as-assigned (operator seed),pending
nuri-clinics,NURI Clinics,nuriclinics.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Trusted medical supplier.",1,as-assigned (operator seed),pending
nuscience-peptides,Nuscience Peptides,nusciencepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly rated GLP-1 supplier.",2,as-assigned (operator seed),pending
oathpeptides,OathPeptides,oathpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Preferred clinical research partner (IND).",1,as-assigned (operator seed),pending
olympia-aesthetics,Olympia Aesthetics,olympiaaesthetics.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Medically supervised Florida clinic.",1,as-assigned (operator seed),pending
optimum-aminos,Optimum Aminos,optimumaminos.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Suwanee-based vendor.",3,as-assigned (operator seed),pending
orionpeptides,Orionpeptides,orionpeptides.org,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
oros-research,OROS Research,orosresearch.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly rated Trustpilot vendor.",2,as-assigned (operator seed),pending
oupeptide,Oupeptide,oupeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese wholesale supplier.",3,as-assigned (operator seed),pending
p3-labz,P3 Labz,p3labz.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Retail vendor.",3,as-assigned (operator seed),pending
panda-peptides,Panda Peptides,pandapeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
paradigm-peptides,Paradigm Peptides,paradigmpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Major market player, targeted by litigation.",2,as-assigned (operator seed),pending
paramount-peptides,Paramount Peptides,paramountpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Top-rated Ipamorelin supplier.",2,as-assigned (operator seed),pending
peak-performance-peptides,Peak Performance Peptides,peak-performancepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
peakbiologic,Peakbiologic,peakbiologic.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Obscure biochemical supplier.",3,as-assigned (operator seed),pending
pentechpeptide,Pentechpeptide,pentechpeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
pepgenics-research,Pepgenics Research,pepgenicsresearch.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
peporapeporabio,Peporapeporabio,peporapeporabio.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
peppy-me,Peppy& Me,peppyandme.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Obscure supplier.",3,as-assigned (operator seed),pending
pepsynth-labs,Pepsynth Labs,pepsynthlabs.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
peptide-crafters,Peptide Crafters,peptidecrafters.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Top-rated retail vendor.",2,as-assigned (operator seed),pending
peptide-depot,Peptide Depot,onpoint.to,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Professionally developed RUO storefront.",2,as-assigned (operator seed),pending
peptide-gurus,Peptide Gurus,peptidegurus.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Retail vendor.",3,as-assigned (operator seed),pending
peptide-partners,Peptide Partners,peptidepartners.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly visible retail supplier.",2,as-assigned (operator seed),pending
peptide-sciences,Peptide Sciences,peptidesciences.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Former market leader, shut down voluntarily.",2,as-assigned (operator seed),pending
peptide-systems,Peptide Systems,peptidesystems.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Folsom-based retail vendor.",2,as-assigned (operator seed),pending
peptide-s,Peptide-S,peptide-s.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Retail vendor.",3,as-assigned (operator seed),pending
peptidegiants,PeptideGiants,peptidegiants.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Tampa-based vendor.",3,as-assigned (operator seed),pending
peptides-for-sale,Peptides For Sale,peptidesforsale.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Generic domain retail vendor.",3,as-assigned (operator seed),completed-partial
peptideskingdom,Peptideskingdom,peptideskingdom.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
peptidesupply,Peptidesupply,peptidesupply.org,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Obscure retail supplier.",3,as-assigned (operator seed),pending
peptidicpeptidicresearch,Peptidicpeptidicresearch,peptidicpeptidicresearch.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Miami-based retail vendor.",2,as-assigned (operator seed),pending
peptidology,Peptidology,peptidology.co,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Scottsdale-based vendor.",3,as-assigned (operator seed),pending
peptira,Peptira,peptira.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Chadron-based vendor with 200+ reviews.",2,as-assigned (operator seed),pending
phoenix-pharmaceuticals,Phoenix Pharmaceuticals,phoenixpeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Legitimate biotechnology manufacturer.",1,as-assigned (operator seed),pending
planet-peptide,Planet Peptide,planetpeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Top-rated GLP-1 supplier.",2,as-assigned (operator seed),pending
polaris-peptides,Polaris Peptides,polarispeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly rated Tirzepatide supplier.",2,as-assigned (operator seed),pending
